Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,70.7,,,67.2,73.9,C2,T9,NH022,BOC03,AGE07,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,72.1,,,66.4,77.1,C2,T9,NH022,BOC03,AGE08,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,48.6,,,44.5,52.6,C2,T9,NH022,BOC02,GEN01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,74.5,,,66.8,80.9,C2,T9,NH022,BOC02,GEN02,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,54.1,,,49.8,58.3,C2,T9,NH022,BOC01,OVR01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,52.6,,,45.5,59.6,C2,T9,NH022,BOC04,RAC01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,65,,,58.4,71,C2,T9,NH022,BOC04,RAC02,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH022,BOC04,RAC03,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,41.4,,,31.2,52.4,C2,T9,NH022,BOC04,RAC04,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,53.6,,,40.2,66.5,C2,T9,NH022,BOC04,RAC07,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH022,BOC03,AGE01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,57.3,,,48.2,66.1,C2,T9,NH022,BOC03,AGE04,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,71.1,,,67.3,74.6,C2,T9,NH022,BOC03,AGE05,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,79.7,,,77.2,82,C2,T9,NH022,BOC03,AGE06,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,73.7,,,71.5,75.9,C2,T9,NH022,BOC03,AGE07,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,79.4,,,75.2,83,C2,T9,NH022,BOC03,AGE08,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,56.3,,,49.8,62.6,C2,T9,NH022,BOC02,GEN01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,73,,,67.2,78.2,C2,T9,NH022,BOC02,GEN02,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,63.2,,,57.7,68.4,C2,T9,NH022,BOC01,OVR01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,64.9,,,57.6,71.7,C2,T9,NH022,BOC04,RAC01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,65.3,,,58.2,71.7,C2,T9,NH022,BOC04,RAC02,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH022,BOC04,RAC03,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,52.1,,,45.9,58.2,C2,T9,NH022,BOC04,RAC04,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,39.4,,,25.5,55.3,C2,T9,NH022,BOC04,RAC07,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH022,BOC03,AGE01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,56,,,47,64.6,C2,T9,NH022,BOC03,AGE04,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,77.8,,,72.8,82.1,C2,T9,NH022,BOC03,AGE05,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,82,,,78.2,85.3,C2,T9,NH022,BOC03,AGE06,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,78.1,,,74.6,81.1,C2,T9,NH022,BOC03,AGE07,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,81.2,,,75.7,85.7,C2,T9,NH022,BOC03,AGE08,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,59.7,,,52.9,66.1,C2,T9,NH022,BOC02,GEN01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,75.4,,,67.3,82,C2,T9,NH022,BOC02,GEN02,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,65.8,,,59.9,71.2,C2,T9,NH022,BOC01,OVR01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,66.3,,,59,72.9,C2,T9,NH022,BOC04,RAC01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,70.9,,,62.1,78.4,C2,T9,NH022,BOC04,RAC02,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH022,BOC04,RAC03,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,55.7,,,46.4,64.7,C2,T9,NH022,BOC04,RAC04,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,64.7,,,52.8,75,C2,T9,NH022,BOC04,RAC07,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH022,BOC03,AGE01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,54.6,,,46.2,62.7,C2,T9,NH022,BOC03,AGE04,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,75.4,,,68.9,81,C2,T9,NH022,BOC03,AGE05,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,84,,,79.9,87.4,C2,T9,NH022,BOC03,AGE06,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,77,,,72.7,80.8,C2,T9,NH022,BOC03,AGE07,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,83.7,,,77.8,88.2,C2,T9,NH022,BOC03,AGE08,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,55.2,,,50.1,60.3,C2,T9,NH022,BOC02,GEN01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,73.7,,,65.7,80.3,C2,T9,NH022,BOC02,GEN02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,63.7,,,58.6,68.6,C2,T9,NH022,BOC01,OVR01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,65.9,,,57.9,73.2,C2,T9,NH022,BOC04,RAC01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,68.8,,,63,74.1,C2,T9,NH022,BOC04,RAC02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,48.7,,,38.6,58.9,C2,T9,NH022,BOC04,RAC03,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,55.7,,,42.3,68.3,C2,T9,NH022,BOC04,RAC04,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,43.5,,,34.6,52.8,C2,T9,NH022,BOC04,RAC07,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH022,BOC03,AGE01,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,57.5,,,50.1,64.6,C2,T9,NH022,BOC03,AGE04,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,75.8,,,70.7,80.2,C2,T9,NH022,BOC03,AGE05,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,82.6,,,77.9,86.4,C2,T9,NH022,BOC03,AGE06,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,76.8,,,72.4,80.8,C2,T9,NH022,BOC03,AGE07,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,80.9,,,74.2,86.1,C2,T9,NH022,BOC03,AGE08,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,60.6,,,54.1,66.8,C2,T9,NH022,BOC02,GEN01,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,72.4,,,66.1,77.9,C2,T9,NH022,BOC02,GEN02,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,65.5,,,60.4,70.2,C2,T9,NH022,BOC01,OVR01,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,69.3,,,61.3,76.3,C2,T9,NH022,BOC04,RAC01,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,63.6,,,59.4,67.5,C2,T9,NH022,BOC04,RAC02,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,48.2,,,40.8,55.6,C2,T9,NH022,BOC04,RAC03,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,58.4,,,48.9,67.3,C2,T9,NH022,BOC04,RAC04,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,58.7,,,49.4,67.4,C2,T9,NH022,BOC04,RAC07,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH023,BOC03,AGE01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,28.6,,,20,39.2,C2,T9,NH023,BOC03,AGE04,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,39.6,,,34,45.4,C2,T9,NH023,BOC03,AGE05,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,24.2,,,19.8,29.3,C2,T9,NH023,BOC03,AGE06,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,32.3,,,27.4,37.6,C2,T9,NH023,BOC03,AGE07,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,16.2,,,12.4,20.9,C2,T9,NH023,BOC03,AGE08,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,28.4,,,22.5,35,C2,T9,NH023,BOC02,GEN01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,27,,,20.8,34.2,C2,T9,NH023,BOC02,GEN02,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,27.3,,,22.7,32.3,C2,T9,NH023,BOC01,OVR01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,30.5,,,26,35.5,C2,T9,NH023,BOC04,RAC01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,22.3,,,16.1,30.1,C2,T9,NH023,BOC04,RAC02,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH023,BOC04,RAC03,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,15.3,,,9.5,23.9,C2,T9,NH023,BOC04,RAC04,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH023,BOC04,RAC07,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH023,BOC03,AGE01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,28.8,,,23.5,34.7,C2,T9,NH023,BOC03,AGE04,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,38.9,,,34.3,43.7,C2,T9,NH023,BOC03,AGE05,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,32.1,,,28.8,35.7,C2,T9,NH023,BOC03,AGE06,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,35.3,,,32.2,38.5,C2,T9,NH023,BOC03,AGE07,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,30.6,,,24.8,37,C2,T9,NH023,BOC03,AGE08,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,28.3,,,24.3,32.6,C2,T9,NH023,BOC02,GEN01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,42.9,,,36,50,C2,T9,NH023,BOC02,GEN02,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,33.1,,,29.4,37,C2,T9,NH023,BOC01,OVR01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,33,,,28.1,38.3,C2,T9,NH023,BOC04,RAC01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,32.5,,,28.5,36.8,C2,T9,NH023,BOC04,RAC02,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH023,BOC04,RAC03,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,19,,,11.1,30.6,C2,T9,NH023,BOC04,RAC04,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,20.4,,,11.7,33.3,C2,T9,NH023,BOC04,RAC07,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH023,BOC03,AGE01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,25-44,Percentage,%,41.8,,,30.4,54.3,C2,T9,NH023,BOC03,AGE04,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,45-64,Percentage,%,39.3,,,33.2,45.7,C2,T9,NH023,BOC03,AGE05,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,65+,Percentage,%,38.6,,,34.4,42.9,C2,T9,NH023,BOC03,AGE06,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,35+,Percentage,%,40.3,,,36,44.8,C2,T9,NH023,BOC03,AGE07,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Age,75+,Percentage,%,28.6,,,23.5,34.2,C2,T9,NH023,BOC03,AGE08,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Male,Percentage,%,36.8,,,29.9,44.2,C2,T9,NH023,BOC02,GEN01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Gender,Female,Percentage,%,38.5,,,28.4,49.7,C2,T9,NH023,BOC02,GEN02,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Overall,Overall,Percentage,%,36.2,,,29.5,43.6,C2,T9,NH023,BOC01,OVR01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,38.1,,,28.2,49,C2,T9,NH023,BOC04,RAC01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,31.5,,,27.2,36.2,C2,T9,NH023,BOC04,RAC02,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH023,BOC04,RAC03,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Hispanic,Percentage,%,28.2,,,22.8,34.4,C2,T9,NH023,BOC04,RAC04,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension (Percentage); NHANES,Race,Other,Percentage,%,34.4,,,24.4,46.1,C2,T9,NH023,BOC04,RAC07,00,
